United States,Canada,137114
United States,Brazil,62860
United States,Qatar,16120
United States,Italy,20469
United States,Peru,17630
United States,Kuwait,2552
United States,Panama,31368
United States,Hungary,1512
United States,Costa Rica,17992
United States,Morocco,2466
United States,France,32362
United States,Bahamas,31997
United States,Norway,532
United States,Bermuda,7343
United States,Aruba,11200
United States,Ireland,12200
United States,Cayman Islands,10886
United States,Argentina,19669
United States,Bolivia,2511
United States,Venezuela,7094
United States,Nigeria,936
United States,Ecuador,13754
United States,Curacao,2798
United States,Ghana,868
United States,Uzbekistan,492
United States,Israel,7126
United States,Australia,5824
United States,Saint Lucia,2552
United States,Cuba,22453
United States,El Salvador,9041
United States,Iceland,11893
United States,Jordan,2780
United States,Saint Kitts and Nevis,2303
United States,Belgium,6928
United States,Grenada and South Grenadines,2224
United States,Guatemala,9231
United States,Germany,45533
United States,Chile,12229
United States,Martinique,880
United States,Russian Federation,8980
United States,China,30393
United States,Dominican Republic,52718
United States,Belize,7237
United States,Hong Kong,15112
United States,Poland,3780
United States,Spain,26275
United States,Ukraine,2624
United States,Netherlands,20691
United States,Sint Maarten,3704
United States,Turkey,12884
United States,Finland,3091
United States,Saudi Arabia,1248
United States,Bonaire, Saint Eustatius & Saba,287
United States,Trinidad and Tobago,13476
United States,Serbia,508
United States,Uruguay,1912
United States,Guyana,1901
United States,Switzerland,12776
United States,New Zealand,1734
United States,Guadeloupe,1204
United States,South Korea,17079
United States,Denmark,2758
United States,Jamaica,36631
United States,Honduras,8417
United States,Portugal,5792
United States,Mexico,189311
United States,Egypt,2912
United States,United Arab Emirates,36826
United States,Sweden,2394
United States,Haiti,19240
United States,India,5056
United States,Azerbaijan,526
United States,South Africa,2536
United States,United Kingdom,113285
United States,Austria,3180
United States,Antigua and Barbuda,2581
United States,Colombia,36315
United States,Japan,29850
United States,Taiwan,10540
United States,Turks and Caicos Islands,6767
United States,Barbados,6130
United States,Nicaragua,6815
